,method,observation_sequence,n_states,time,log_prob
0,bw_only,0,2,0.24380170000949875,-8.570437705938744
1,ga_and_bw,0,2,8.587123700010125,-8.57043770593506
2,random_only,0,2,3.8930750000290573,-11.816151078025714
3,ga_only,0,2,8.737015099963173,-8.852319822387118
4,bw_only,1,2,0.0011919999960809946,-6.148163452301997
5,ga_and_bw,1,2,5.243759400036652,-6.140567726008329
6,random_only,1,2,0.03592570003820583,-7.102118535371996
7,ga_only,1,2,5.094906400016043,-6.224032468983976
8,bw_only,2,2,0.0005189000512473285,-14.996568348341924
9,ga_and_bw,2,2,6.296093100041617,-9.95673206705494
10,random_only,2,2,0.0003038999857380986,-20.17139869794433
11,ga_only,2,2,6.2292601999943145,-10.929907704109958
12,bw_only,3,2,0.0005043999990448356,-6.25256481231671
13,ga_and_bw,3,2,5.319172300049104,-6.25256481231671
14,random_only,3,2,0.00030610000248998404,-9.563657995463867
15,ga_only,3,2,5.257457900035661,-6.433075742743627
16,bw_only,4,2,0.0007795999990776181,-6.068425588245211
17,ga_and_bw,4,2,5.268443199980538,-6.068425588244111
18,random_only,4,2,0.0004267999902367592,-11.371972253158773
19,ga_only,4,2,5.2103975000209175,-6.290430025580389
20,bw_only,5,2,0.000596800004132092,-7.523941418405984
21,ga_and_bw,5,2,4.981530299992301,-7.523941418405954
22,random_only,5,2,0.0003425999893806875,-17.930110329928574
23,ga_only,5,2,4.866270500002429,-7.916279131554615
24,bw_only,6,2,0.0006489999941550195,-12.548474486073324
25,ga_and_bw,6,2,5.796440200007055,-10.394547258908217
26,random_only,6,2,0.0004251999780535698,-15.850469514944761
27,ga_only,6,2,5.215350000013132,-10.751744649311341
28,bw_only,7,2,0.0005040999967604876,-14.31784110950647
29,ga_and_bw,7,2,6.412295299989637,-14.317841042444442
30,random_only,7,2,0.0001742999884299934,-32.20209613041013
31,ga_only,7,2,6.211903500021435,-14.901681355047424
32,bw_only,8,2,0.00043180002830922604,-2.249340578475233
33,ga_and_bw,8,2,5.130010600027163,-2.249340578475233
34,random_only,8,2,0.033256900031119585,-5.429953048076866
35,ga_only,8,2,4.822851400007494,-2.5507714443490834
36,bw_only,9,2,0.0005285999504849315,-18.385555091113233
37,ga_and_bw,9,2,7.230614500003867,-18.385501595226348
38,random_only,9,2,0.0008532999781891704,-46.75583833248592
39,ga_only,9,2,7.265864100016188,-18.783954160605703
40,bw_only,0,3,0.0005386999691836536,-6.408223661834905
41,ga_and_bw,0,3,8.51907450001454,-5.614398913521533
42,random_only,0,3,0.00017099996330216527,-15.453818404423087
43,ga_only,0,3,8.599232099950314,-6.843533223837064
44,bw_only,1,3,0.0005896999500691891,-4.581453659504386
45,ga_and_bw,1,3,7.347272599989083,-4.751551906687566
46,random_only,1,3,0.00033140002051368356,-9.183107589403809
47,ga_only,1,3,7.366066500020679,-5.035865330130605
48,bw_only,2,3,0.0006575000006705523,-8.317766166719343
49,ga_and_bw,2,3,9.2986359000206,-9.433483923290392
50,random_only,2,3,0.00021580001339316368,-27.65450034746876
51,ga_only,2,3,9.168025700026192,-10.442972756006187
52,bw_only,3,3,0.000630199967417866,-6.3338063139340175
53,ga_and_bw,3,3,7.502107099979185,-5.20537941050716
54,random_only,3,3,0.00022280000848695636,-10.783170328741816
55,ga_only,3,3,8.465371400001459,-5.929568930473031
56,bw_only,4,3,0.0004836000152863562,-3.819085009768877
57,ga_and_bw,4,3,8.483982499979902,-5.37527840773019
58,random_only,4,3,0.00013190001482143998,-11.388861945260416
59,ga_only,4,3,8.503990099998191,-4.642347457376868
60,bw_only,5,3,0.0006784999859519303,0.0
61,ga_and_bw,5,3,8.126051600032952,0.0
62,random_only,5,3,0.00024690001737326384,-11.325998050954539
63,ga_only,5,3,7.901634500012733,-1.5187476234079267
64,bw_only,6,3,0.0006577999447472394,-9.726902479521808
65,ga_and_bw,6,3,8.282161499955691,-7.4547199493640015
66,random_only,6,3,0.00014560000272467732,-12.574935684401757
67,ga_only,6,3,8.411247099982575,-9.127952118266245
68,bw_only,7,3,0.006692300026770681,-11.27380495970677
69,ga_and_bw,7,3,8.859058600035496,-10.4799802108195
70,random_only,7,3,0.00018019997514784336,-17.96898450313667
71,ga_only,7,3,8.447472099971492,-11.288296631788937
72,bw_only,8,3,0.0005099999834783375,-2.2493405792092687
73,ga_and_bw,8,3,6.983626800007187,-1.6739764335716716
74,random_only,8,3,0.0011125000310130417,-4.885459065303783
75,ga_only,8,3,6.8611489000031725,-2.285787448865711
76,bw_only,9,3,0.0010689999908208847,-16.22630180023312
77,ga_and_bw,9,3,1.2228761999867857,-14.826185918983432
78,random_only,9,3,0.00021739996736869216,-42.075143742153415
79,ga_only,9,3,1.2455337999854237,-16.15735294709764
80,bw_only,0,4,0.0011455999920144677,-6.068726831290776
81,ga_and_bw,0,4,1.2357058000052348,-4.1588830833596715
82,random_only,0,4,0.0002838000073097646,-14.362749126159587
83,ga_only,0,4,1.2134464000118896,-6.7186143500839135
