,method,observation_sequence,n_states,time,log_prob
0,bw_only,0,2,0.38084859994705766,-8.570437705935948
1,ga_and_bw,0,2,7.260413900017738,-8.570437705935342
2,random_only,0,2,0.025930400006473064,-15.968785266438271
3,ga_only,0,2,0.22822889999952167,-8.556582297563242
4,bw_only,0,2,0.0003043999895453453,-8.570437705935083
5,ga_and_bw,0,2,0.22147360001690686,-8.570437705935067
6,random_only,0,2,6.769993342459202e-05,-18.74883706121562
7,ga_only,0,2,0.21827219997067004,-8.753166883558706
8,bw_only,0,2,0.0004311000229790807,-8.570437705936214
9,ga_and_bw,0,2,0.2230537999421358,-8.317766166719345
10,random_only,0,2,6.260001100599766e-05,-13.17833554218343
11,ga_only,0,2,0.24992430000565946,-8.74143643869891
12,bw_only,0,2,0.00030129996594041586,-8.570437705935293
13,ga_and_bw,0,2,0.2205231999978423,-8.657564240440704
14,random_only,0,2,6.200000643730164e-05,-14.29538582213108
15,ga_only,0,2,0.21836890000849962,-9.427918655889185
16,bw_only,0,2,0.00029580004047602415,-8.657564248655788
17,ga_and_bw,0,2,0.22303650004323572,-8.57043770593507
18,random_only,0,2,6.250001024454832e-05,-18.366254441245637
19,ga_only,0,2,0.2220257999142632,-8.86530538628402
20,bw_only,0,2,0.00029770005494356155,-8.570437705950217
21,ga_and_bw,0,2,0.22003129997756332,-8.570437705935056
22,random_only,0,2,6.130000110715628e-05,-19.92977042927888
23,ga_only,0,2,0.2180798000190407,-8.928482662897286
24,bw_only,0,2,0.0002962000435218215,-8.65756424053019
25,ga_and_bw,0,2,0.2205388000002131,-8.570437705947738
26,random_only,0,2,6.290001329034567e-05,-11.651079930447297
27,ga_only,0,2,0.21741359995212406,-8.769964119078463
28,bw_only,0,2,0.0003350999904796481,-8.570437705935479
29,ga_and_bw,0,2,0.22071470005903393,-8.570437705935205
30,random_only,0,2,6.210000719875097e-05,-12.000419933364116
31,ga_only,0,2,0.22104169998783618,-8.941075403540237
